candidate_id,final_rank,mean_score,score_range,best_rank,worst_rank,rank_range,summary_archetype,fine_static_atom,current_title,current_company,integrity_risk_level,honeypot_proxy_rules,overlay_rules_fired,career_compounds,skill_signals,rank_conservative,rank_senior_heavy,rank_applied_ml_friendly,rank_generic_tail_friendly,rank_behavior_medium,rank_mutation_uncertain
CAND_0070398,85,6.11391,0.980956,74,104,30,applied_ml,fine_atom_00,Machine Learning Engineer,Genpact AI,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,84,80,81,74,104,84
CAND_0074735,86,6.105728,0.965357,71,97,26,applied_ml,fine_atom_00,Applied ML Engineer,Rephrase.ai,none,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_application_context;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,87,92,89,97,71,87
CAND_0039521,87,6.101842,0.971505,85,92,7,applied_ml,fine_atom_00,Search Engineer,Salesforce,low,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,88,90,86,85,92,88
CAND_0050876,88,6.100939,0.968511,85,93,8,applied_ml,fine_atom_00,Applied ML Engineer,Freshworks,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;vector_hybrid_infrastructure,89,93,88,92,85,89
CAND_0076904,89,6.0968,0.96238,77,107,30,applied_ml,fine_atom_00,Senior Data Scientist,Nykaa,low,,,evaluated_ranking_system,llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,90,88,87,77,107,90
CAND_0083879,90,6.096304,0.992145,66,105,39,applied_ml,fine_atom_00,Machine Learning Engineer,Ola,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;vector_hybrid_infrastructure,92,105,93,99,66,92
CAND_0009837,91,6.088213,0.953665,86,103,17,applied_ml,fine_atom_00,Senior Data Scientist,Rephrase.ai,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;llm_application_context;llm_finetuning;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,86,87,90,103,94,86
CAND_0049538,92,6.085797,1.002708,77,109,32,applied_ml,fine_atom_00,Applied ML Engineer,Saarthi.ai,none,,,evaluated_ranking_system,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,98,109,97,84,77,98
CAND_0009024,93,6.083549,0.94425,81,104,23,applied_ml,fine_atom_00,Search Engineer,Google,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_finetuning;ml_depth;ranking_recommendation_matching;vector_hybrid_infrastructure,91,81,91,104,95,91
CAND_0078002,94,6.081373,0.93825,81,112,31,applied_ml,fine_atom_00,Machine Learning Engineer,Meta,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;vector_hybrid_infrastructure,93,86,98,112,81,93
CAND_0039838,95,6.080409,0.994838,86,107,21,applied_ml,fine_atom_00,Recommendation Systems Engineer,Amazon,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,99,107,96,86,88,99
CAND_0056881,96,6.080379,0.973715,87,103,16,applied_ml,fine_atom_00,Machine Learning Engineer,Zomato,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,94,99,94,87,103,94
CAND_0066376,97,6.073633,0.967805,91,109,18,applied_ml,fine_atom_00,Applied ML Engineer,Dream11,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,96,97,92,91,109,96
CAND_0022812,98,6.067583,0.94425,91,107,16,applied_ml,fine_atom_00,Applied ML Engineer,Dream11,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;vector_hybrid_infrastructure,95,91,100,107,102,95
CAND_0024466,99,6.065829,0.970785,82,120,38,applied_ml,fine_atom_00,Search Engineer,PharmEasy,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,101,98,95,82,120,101
CAND_0089552,100,6.061932,0.965799,94,114,20,applied_ml,fine_atom_00,Machine Learning Engineer,Netflix,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,102,100,99,94,114,102
