final_rank,candidate_id,mean_score,assessment_group,assessment_score_raw,assessment_score_normalized,assessment_signal_scores,frozen_top100_rank,absolute_top100_rank,summary_archetype,fine_static_atom,current_title,current_company,career_compounds,skill_names,integrity_risk_level,honeypot_proxy_rules
58,CAND_0081053,6.244633,applied_ml,0.1332,0.144058,llm_finetuning:88.8,77,79,applied_ml,fine_atom_00,NLP Engineer,Glance,evaluated_ranking_system;shipper_with_evaluation_depth,Diffusion Models;Haystack;Image Classification;Learning to Rank;LoRA;Machine Learning;Object Detection;OpenCV;OpenSearch;QLoRA;Qdrant;Semantic Search;Speech Recognition;Weaviate;Webpack;pgvector;scikit-learn,none,
59,CAND_0009691,6.228416,applied_ml,0.25755,0.002774,llm_finetuning:81.8;ml_depth:65.1;ranking_recommendation_matching:69.9,52,42,applied_ml,fine_atom_00,Applied ML Engineer,LinkedIn,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BentoML;FAISS;Fine-tuning LLMs;GANs;Kubeflow;LangChain;LoRA;MLflow;Pinecone;Prompt Engineering;QLoRA;Qdrant;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Spring Boot;Terraform;scikit-learn,none,
60,CAND_0069905,6.22706,applied_ml,0.0678,-0.004545,llm_finetuning:71.3,51,70,applied_ml,fine_atom_00,Applied ML Engineer,Sarvam AI,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Computer Vision;Flask;Forecasting;Hugging Face Transformers;Image Classification;LangChain;Learning to Rank;LoRA;MLOps;Object Detection;Python;Recommendation Systems;Redux;Sentence Transformers;Speech Recognition;TensorFlow;Weaviate,none,
61,CAND_0081686,6.226747,applied_ml,0.34705,0.08282,embeddings:61.8;ml_depth:73.2;vector_hybrid_infrastructure:85.9,67,39,applied_ml,fine_atom_00,Search Engineer,Netflix,evaluated_ranking_system;shipper_with_evaluation_depth,BigQuery;CNN;Embeddings;FAISS;Feature Engineering;Forecasting;Hugging Face Transformers;Java;Kubeflow;LLMs;LangChain;Machine Learning;Milvus;OpenCV;Python;QLoRA;Semantic Search;Weights & Biases,none,
62,CAND_0039383,6.223236,applied_ml,0.25975,-0.097626,ml_depth:85.8;ranking_recommendation_matching:64.9;vector_hybrid_infrastructure:62.8,36,31,applied_ml,fine_atom_00,Applied ML Engineer,Meesho,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;CNN;Elasticsearch;FAISS;Feature Engineering;GANs;Hugging Face Transformers;Kubeflow;LoRA;MLflow;NLP;Prompt Engineering;QLoRA;Recommendation Systems;Vector Search;pgvector,none,
63,CAND_0010257,6.21286,applied_ml,0.240017,0.080405,python_engineering:51.8;vector_hybrid_infrastructure:90.5,72,60,applied_ml,fine_atom_00,Senior Data Scientist,Google,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;Feature Engineering;Forecasting;Image Classification;JavaScript;MLflow;Machine Learning;Milvus;OpenSearch;Python;Qdrant;Recommendation Systems;Rust;TensorFlow;pgvector,none,
64,CAND_0086151,6.208825,applied_ml,0.285825,0.118076,ranking_recommendation_matching:83.7;vector_hybrid_infrastructure:69.5,81,58,applied_ml,fine_atom_00,Recommendation Systems Engineer,Wysa,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;BentoML;Computer Vision;Data Science;Elasticsearch;Embeddings;Feature Engineering;Figma;LangChain;LoRA;OpenSearch;PEFT;Qdrant;Recommendation Systems;Sentence Transformers;Snowflake;Statistical Modeling;Time Series;dbt,none,
65,CAND_0057701,6.191188,applied_ml,0.31855,0.069899,ml_depth:69.6;python_engineering:65;vector_hybrid_infrastructure:82.9,76,51,applied_ml,fine_atom_00,Recommendation Systems Engineer,Verloop.io,evaluated_ranking_system;shipper_with_evaluation_depth,Deep Learning;Feature Engineering;Hugging Face Transformers;Learning to Rank;Machine Learning;Milvus;OpenSearch;PEFT;Prompt Engineering;Python;Qdrant;Snowflake;TTS;TensorFlow;Time Series;TypeScript;Vue.js,low,
66,CAND_0055992,6.189598,applied_ml,0.236417,-0.046463,retrieval_search:87.1;vector_hybrid_infrastructure:51.2,55,46,applied_ml,fine_atom_00,AI Engineer,CRED,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Accounting;Data Science;Deep Learning;Embeddings;FAISS;Feature Engineering;Fine-tuning LLMs;Information Retrieval;LangChain;MLflow;Milvus;OpenSearch;Prompt Engineering;RAG;SQL;Vue.js,low,
67,CAND_0020877,6.185343,applied_ml,0.24815,-0.053462,llm_finetuning:63;ml_depth:82.1;vector_hybrid_infrastructure:67.2,54,44,applied_ml,fine_atom_00,Applied ML Engineer,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Forecasting;Illustrator;Information Retrieval;Java;Kubeflow;LlamaIndex;Milvus;OpenSearch;PEFT;PyTorch;QLoRA;Qdrant;Statistical Modeling;Weaviate;YOLO;scikit-learn,low,
68,CAND_0066999,6.184901,applied_ml,0.22575,0.261325,vector_hybrid_infrastructure:90.3,,94,applied_ml,fine_atom_00,Recommendation Systems Engineer,Microsoft,evaluated_ranking_system,ASR;BM25;CNN;Embeddings;Excel;FAISS;Image Classification;Information Retrieval;JavaScript;LLMs;Machine Learning;Node.js;OpenSearch;Pinecone;Statistical Modeling,none,
69,CAND_0079284,6.183837,applied_ml,0.2747,0.019424,llm_finetuning:64.1;python_engineering:84.2;ranking_recommendation_matching:68.9,65,55,applied_ml,fine_atom_00,Machine Learning Engineer,Google,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;Elasticsearch;Feature Engineering;Fine-tuning LLMs;Illustrator;LlamaIndex;Machine Learning;NLP;Project Management;QLoRA;Qdrant;Recommendation Systems;Terraform;Weights & Biases;scikit-learn,low,
70,CAND_0099401,6.173552,applied_ml,0.0,0.0,,64,89,applied_ml,fine_atom_00,NLP Engineer,Dream11,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Deep Learning;Embeddings;GANs;Haystack;Information Retrieval;LlamaIndex;Photoshop;Python;Qdrant;Reinforcement Learning;Semantic Search;scikit-learn,none,
71,CAND_0057563,6.172719,applied_ml,0.1209,0.074427,ml_depth:80.6,83,82,applied_ml,fine_atom_00,NLP Engineer,Locobuzz,evaluated_ranking_system;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Feature Engineering;Forecasting;Hugging Face Transformers;Machine Learning;OpenSearch;Prompt Engineering;QLoRA;RAG;Rust;SQL;Speech Recognition;Time Series,none,
72,CAND_0013536,6.169463,applied_ml,0.0,0.0,,66,91,applied_ml,fine_atom_00,Applied ML Engineer,Haptik,evaluated_ranking_system;shipper_with_evaluation_depth,Computer Vision;Content Writing;Elasticsearch;Embeddings;FAISS;Hadoop;Image Classification;LLMs;LlamaIndex;MLOps;Milvus;NLP;Pinecone;Prompt Engineering;PyTorch;QLoRA;Vector Search;Weights & Biases,low,
73,CAND_0091909,6.160408,applied_ml,0.0,0.0,,69,93,applied_ml,fine_atom_00,Machine Learning Engineer,Rephrase.ai,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Diffusion Models;Hugging Face Transformers;Image Classification;LLMs;LangChain;Learning to Rank;MLflow;OpenSearch;Pinecone;QLoRA;Qdrant;Sentence Transformers;scikit-learn,none,
74,CAND_0009837,6.158348,applied_ml,0.1428,0.096738,python_engineering:81.6,91,84,applied_ml,fine_atom_00,Senior Data Scientist,Rephrase.ai,evaluated_ranking_system;shipper_with_evaluation_depth,Computer Vision;FAISS;Haystack;Image Classification;LLMs;LangChain;Learning to Rank;PyTorch;Python;QLoRA;Qdrant;REST APIs;Six Sigma;Speech Recognition;TensorFlow;scikit-learn,low,
75,CAND_0081852,6.15739,applied_ml,0.0,0.0,,70,95,applied_ml,fine_atom_00,Senior Data Scientist,Mad Street Den,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BentoML;CNN;Computer Vision;Haystack;LoRA;MLOps;Milvus;Salesforce CRM;Semantic Search;Speech Recognition;TTS;Vector Search;Weaviate;pgvector,none,
76,CAND_0083307,6.154662,applied_ml,0.0,0.0,,71,96,applied_ml,fine_atom_00,Search Engineer,CRED,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Data Science;Deep Learning;Embeddings;GCP;Image Classification;Learning to Rank;MLflow;OpenCV;PEFT;Pinecone;Python;QLoRA;Semantic Search;Vector Search;Weaviate;Weights & Biases;pgvector;scikit-learn,none,
77,CAND_0054394,6.148725,applied_ml,0.0,0.0,,73,97,applied_ml,fine_atom_00,Recommendation Systems Engineer,PharmEasy,evaluated_ranking_system,ASR;Data Science;Embeddings;Fine-tuning LLMs;Forecasting;Haystack;Hugging Face Transformers;Java;MLflow;Machine Learning;Next.js;Node.js;Pinecone;Prompt Engineering;Time Series;scikit-learn,low,
78,CAND_0000031,6.148116,applied_ml,0.092,-0.048618,vector_hybrid_infrastructure:68.4,60,77,applied_ml,fine_atom_00,Recommendation Systems Engineer,Swiggy,evaluated_ranking_system;shipper_with_evaluation_depth,Angular;BentoML;Embeddings;FAISS;Feature Engineering;Go;Hugging Face Transformers;Image Classification;Information Retrieval;MLOps;MLflow;Machine Learning;Marketing;Pinecone;Sentence Transformers;Speech Recognition;scikit-learn,none,
79,CAND_0092245,6.145526,applied_ml,0.0819,-0.046303,embeddings:68.2,62,78,applied_ml,fine_atom_00,Senior Data Scientist,Ola,evaluated_ranking_system;shipper_with_evaluation_depth,Airflow;Content Writing;Data Science;Elasticsearch;Embeddings;FAISS;Fine-tuning LLMs;Forecasting;GANs;Hugging Face Transformers;Kafka;LlamaIndex;NLP;Qdrant;RAG;Statistical Modeling;Vector Search,low,
80,CAND_0012957,6.141088,applied_ml,0.1671,-0.15,llm_finetuning:57.7;ml_depth:77.5;retrieval_search:57.8,48,52,applied_ml,fine_atom_00,Search Engineer,Razorpay,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;BentoML;Deep Learning;Embeddings;Fine-tuning LLMs;LangChain;Machine Learning;OpenCV;PEFT;Python;Qdrant;RAG;Redis;Statistical Modeling,low,
81,CAND_0045250,6.134136,applied_ml,0.380167,-0.070611,embeddings:83.2;llm_finetuning:65;ml_depth:83.2;vector_hybrid_infrastructure:53.9,59,35,applied_ml,fine_atom_00,Applied ML Engineer,Rephrase.ai,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Embeddings;Image Classification;LLMs;LangChain;LoRA;MLflow;Milvus;NLP;PEFT;Qdrant;Sentence Transformers;TTS;TensorFlow;Time Series;Vector Search,none,
82,CAND_0018549,6.131437,applied_ml,0.225,0.257079,vector_hybrid_infrastructure:90,,,applied_ml,fine_atom_00,Recommendation Systems Engineer,Uber,evaluated_ranking_system;shipper_with_evaluation_depth,BigQuery;Computer Vision;Elasticsearch;Fine-tuning LLMs;Kubernetes;LangChain;Milvus;OpenSearch;Prompt Engineering;Qdrant;Speech Recognition;Time Series;Weaviate;scikit-learn,none,
83,CAND_0058575,6.127486,applied_ml,0.0,0.0,,80,,applied_ml,fine_atom_00,AI Engineer,Krutrim,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Hugging Face Transformers;LlamaIndex;MLOps;Machine Learning;Pinecone;PyTorch;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Statistical Modeling;Time Series;YOLO,low,
84,CAND_0036437,6.127275,applied_ml,0.203,0.132536,vector_hybrid_infrastructure:81.2,,88,applied_ml,fine_atom_00,Search Engineer,Rephrase.ai,evaluated_ranking_system,Accounting;Elasticsearch;FAISS;Feature Engineering;GANs;Go;Kubeflow;Milvus;OpenSearch;Sentence Transformers;Vector Search;Weaviate,low,
85,CAND_0030031,6.12724,applied_ml,0.07955,-0.15,ml_depth:63.5;python_engineering:53.9;retrieval_search:53.7,49,67,applied_ml,fine_atom_00,AI Engineer,Microsoft,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Information Retrieval;LoRA;Milvus;NLP;Object Detection;OpenCV;PyTorch;Python;QLoRA;RAG;Sentence Transformers;Time Series;Vector Search;YOLO;scikit-learn,low,
86,CAND_0024466,6.124449,applied_ml,0.282,0.080855,ranking_recommendation_matching:75;retrieval_search:74.7,99,71,applied_ml,fine_atom_00,Search Engineer,PharmEasy,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;CI/CD;Computer Vision;Fine-tuning LLMs;Forecasting;Image Classification;LLMs;LoRA;MLOps;NLP;PEFT;Pinecone;PyTorch;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Weights & Biases;pgvector,low,
87,CAND_0076831,6.121448,applied_ml,0.31475,0.211292,retrieval_search:91.3;vector_hybrid_infrastructure:67.3,,83,applied_ml,fine_atom_00,Search Engineer,Krutrim,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Fine-tuning LLMs;Forecasting;Kafka;LLMs;LlamaIndex;MLOps;Milvus;NLP;Project Management;PyTorch;Reinforcement Learning;SEO;TTS;Weaviate;YOLO,low,
88,CAND_0049896,6.121117,applied_ml,0.0,0.0,,82,,applied_ml,fine_atom_00,Search Engineer,Unacademy,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Computer Vision;Data Science;ETL;Fine-tuning LLMs;GANs;Hugging Face Transformers;Information Retrieval;Kubeflow;LangChain;LlamaIndex;NLP;PostgreSQL;PyTorch;Sentence Transformers;Vector Search;YOLO,none,
89,CAND_0010770,6.118433,applied_ml,0.0,0.0,,84,,applied_ml,fine_atom_00,Recommendation Systems Engineer,Aganitha,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Computer Vision;Deep Learning;Diffusion Models;Haystack;Java;LLMs;Learning to Rank;LlamaIndex;MLOps;Qdrant;REST APIs;Statistical Modeling;TTS;TensorFlow;Vue.js;YOLO;pgvector,low,
90,CAND_0058688,6.106326,applied_ml,0.05845,-0.050874,python_engineering:66.7,74,86,applied_ml,fine_atom_00,AI Engineer,Vedantu,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Computer Vision;Diffusion Models;Embeddings;Image Classification;Information Retrieval;LlamaIndex;Machine Learning;Milvus;Object Detection;OpenCV;PostgreSQL;QLoRA;Semantic Search;Snowflake;TensorFlow;scikit-learn,none,
91,CAND_0042506,6.102634,applied_ml,0.2349,-0.081534,llm_finetuning:68.9;python_engineering:73.6;retrieval_search:66.6,68,57,applied_ml,fine_atom_00,Search Engineer,Verloop.io,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Airflow;BentoML;Deep Learning;Diffusion Models;FAISS;Fine-tuning LLMs;Forecasting;Information Retrieval;Milvus;NLP;Object Detection;OpenCV;PEFT;Qdrant;Semantic Search;TTS;TensorFlow;pgvector;scikit-learn,low,
92,CAND_0039521,6.101842,applied_ml,0.0,0.0,,87,,applied_ml,fine_atom_00,Search Engineer,Salesforce,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Accounting;BM25;BentoML;Embeddings;Forecasting;Haystack;Hugging Face Transformers;Machine Learning;Marketing;Object Detection;PEFT;PyTorch;Qdrant;RAG;Semantic Search;Sentence Transformers;Time Series;Weaviate,low,
93,CAND_0066376,6.10141,applied_ml,0.2046,0.038313,llm_finetuning:81.8;ranking_recommendation_matching:68.2,97,80,applied_ml,fine_atom_00,Applied ML Engineer,Dream11,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;CNN;Deep Learning;FAISS;Fine-tuning LLMs;Information Retrieval;LLMs;Learning to Rank;LlamaIndex;LoRA;NLP;Object Detection;PowerPoint;Recommendation Systems;Reinforcement Learning;Semantic Search;Time Series,low,
94,CAND_0050876,6.097282,applied_ml,0.22015,-0.005044,ml_depth:55.8;vector_hybrid_infrastructure:81.1,88,73,applied_ml,fine_atom_00,Applied ML Engineer,Freshworks,evaluated_ranking_system;shipper_with_evaluation_depth,FAISS;Forecasting;Image Classification;Kubeflow;LlamaIndex;MLOps;Machine Learning;OpenSearch;Prompt Engineering;PyTorch;Python;QLoRA;Qdrant;SQL;Sentence Transformers;Weights & Biases;YOLO;scikit-learn,none,
95,CAND_0078002,6.081373,applied_ml,0.0,0.0,,94,,applied_ml,fine_atom_00,Machine Learning Engineer,Meta,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Deep Learning;FastAPI;Flask;Haystack;Hugging Face Transformers;LangChain;LlamaIndex;NLP;QLoRA;Statistical Modeling;TensorFlow;Time Series;Weaviate;pgvector;scikit-learn,none,
96,CAND_0089552,6.073522,applied_ml,0.263,0.015986,retrieval_search:67;vector_hybrid_infrastructure:77.8,100,75,applied_ml,fine_atom_00,Machine Learning Engineer,Netflix,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Feature Engineering;Fine-tuning LLMs;Forecasting;GANs;Hugging Face Transformers;Image Classification;Machine Learning;Milvus;Next.js;Qdrant;SAP;Semantic Search;Sentence Transformers;TTS;TensorFlow;Time Series;Vector Search;Weaviate,none,
97,CAND_0026532,6.071912,applied_ml,0.0133,-0.15,llm_finetuning:53.3,61,85,applied_ml,fine_atom_00,Recommendation Systems Engineer,Zomato,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Embeddings;Excel;FAISS;Feature Engineering;Information Retrieval;LoRA;Milvus;PEFT;Pinecone;Prompt Engineering;Semantic Search;TTS;Time Series;TypeScript;pgvector,none,
98,CAND_0022812,6.067583,applied_ml,0.0,0.0,,98,,applied_ml,fine_atom_00,Applied ML Engineer,Dream11,evaluated_ranking_system;shipper_with_evaluation_depth,Feature Engineering;Forecasting;GANs;Hadoop;JavaScript;LLMs;LangChain;LoRA;MLOps;NLP;Pinecone;Prompt Engineering;Qdrant;Reinforcement Learning;Sentence Transformers;Spark;TensorFlow;Weaviate;pgvector,low,
99,CAND_0070202,6.067017,applied_ml,0.337675,-0.15,embeddings:54;llm_finetuning:76.8;ranking_recommendation_matching:81.5;vector_hybrid_infrastructure:56.5,63,38,applied_ml,fine_atom_00,Machine Learning Engineer,BYJU'S,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Embeddings;Fine-tuning LLMs;GANs;Learning to Rank;LoRA;Microservices;NLP;Object Detection;OpenCV;PyTorch;Qdrant;RAG;Semantic Search;Weights & Biases,none,
100,CAND_0074735,6.064324,applied_ml,0.089,-0.057109,retrieval_search:67.8,86,90,applied_ml,fine_atom_00,Applied ML Engineer,Rephrase.ai,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BentoML;Elasticsearch;GANs;Hadoop;Information Retrieval;Kubeflow;Learning to Rank;LlamaIndex;Machine Learning;Object Detection;Project Management;Prompt Engineering;RAG;Semantic Search;TensorFlow;TypeScript;Vector Search;Weaviate;YOLO,none,
